series,episode,baker_fist_name,baker_last_name,result,baker_age,baker_occupation,hometown,signature_bake,technical,show_stopper
1,1,Annetha,Mills,stayed in,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,Chambers,stayed in,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
1,1,Edd,Kimber,stayed in,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,1,N/A
1,1,Jasminder,Randhawa,stayed in,45,Assistant Credit Control Manager,Birmingham,Fresh Mango and Passion Fruit Hummingbird Cake,NA,N/A
1,1,Jonathan,Shepherd,stayed in,25,Research Analyst,St Albans,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Louise,Brimelow,stayed in,44,Police Officer,Manchester,Carrot and Orange Cake,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Miranda,Browne,stayed in,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Ruth,Clemens,stayed in,31,Retail manager/Housewife,"Poynton, Cheshire",Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
1,1,Lea,Harris,Eliminated,51,Retired,"Midlothian, Scotland",Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Mark,Whithers,Eliminated,48,Bus Driver,South Wales,Sticky Marmalade Tea Loaf,NA,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,2,David,Chambers,stayed in,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans  Chocolate Profiteroles
1,2,Edd,Kimber,stayed in,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,6,Pink Macarons
1,2,Jasminder,Randhawa,stayed in,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,Shepherd,stayed in,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream
1,2,Miranda,Browne,stayed in,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons
1,2,Ruth,Clemens,stayed in,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,2,Annetha,Mills,Eliminated,30,Midwife,Essex,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs
1,2,Louise,Brimelow,Eliminated,44,Police Officer,Manchester,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Lea,Harris,NA,51,Retired,"Midlothian, Scotland",NA,NA,NA
1,2,Mark,Whithers,NA,48,Bus Driver,South Wales,NA,NA,NA
1,3,David,Chambers,stayed in,31,Entrepreneur,Milton Keynes,Chilli Bread,4,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,Kimber,stayed in,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,1,Tomato and Mozzarella
1,3,Jasminder,Randhawa,stayed in,45,Assistant Credit Control Manager,Birmingham,Focaccia,5,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Miranda,Browne,stayed in,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,3,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,Clemens,stayed in,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,2,"Chocolate and Orange Panettone
Cranberry Bagels"
1,3,Jonathan,Shepherd,Eliminated,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Annetha,Mills,NA,30,Midwife,Essex,NA,NA,NA
1,3,Lea,Harris,NA,51,Retired,"Midlothian, Scotland",NA,NA,NA
1,3,Louise,Brimelow,NA,44,Police Officer,Manchester,NA,NA,NA
1,3,Mark,Whithers,NA,48,Bus Driver,South Wales,NA,NA,NA
1,4,Edd,Kimber,stayed in,24,Debt collector for Yorkshire Bank,Bradford,Apple and Plum Pudding,3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,Randhawa,stayed in,45,Assistant Credit Control Manager,Birmingham,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,Browne,stayed in,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Sticky Toffee Pudding,1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
1,4,Ruth,Clemens,stayed in,31,Retail manager/Housewife,"Poynton, Cheshire",Peach and Blueberry Boy Bait,4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,4,David,Chambers,Eliminated,31,Entrepreneur,Milton Keynes,Pear and Walnut Pudding,5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Annetha,Mills,NA,30,Midwife,Essex,NA,NA,NA
1,4,Jonathan,Shepherd,NA,25,Research Analyst,St Albans,NA,NA,NA
1,4,Lea,Harris,NA,51,Retired,"Midlothian, Scotland",NA,NA,NA
1,4,Louise,Brimelow,NA,44,Police Officer,Manchester,NA,NA,NA
1,4,Mark,Whithers,NA,48,Bus Driver,South Wales,NA,NA,NA
1,5,Edd,Kimber,stayed in,24,Debt collector for Yorkshire Bank,Bradford,"Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Miranda,Browne,stayed in,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Summery Salmon, Cod and Prawn Fish Pie",1,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,Clemens,stayed in,31,Retail manager/Housewife,"Poynton, Cheshire",Minced Beef Pie,3,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
1,5,Jasminder,Randhawa,Eliminated,45,Assistant Credit Control Manager,Birmingham,Chicken and Mushroom Pie,4,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Annetha,Mills,NA,30,Midwife,Essex,NA,NA,NA
1,5,David,Chambers,NA,31,Entrepreneur,Milton Keynes,NA,NA,NA
1,5,Jonathan,Shepherd,NA,25,Research Analyst,St Albans,NA,NA,NA
1,5,Lea,Harris,NA,51,Retired,"Midlothian, Scotland",NA,NA,NA
1,5,Louise,Brimelow,NA,44,Police Officer,Manchester,NA,NA,NA
1,5,Mark,Whithers,NA,48,Bus Driver,South Wales,NA,NA,NA
1,6,Miranda,Browne,Series Runner up,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Lemon Cupcake,NA,Eliminated after signature
1,6,Ruth,Clemens,Series Runner up,31,Retail manager/Housewife,"Poynton, Cheshire","Mint, Ginger and Blackberry Cake",NA,NA
1,6,Edd,Kimber,Series Winner,24,Debt collector for Yorkshire Bank,Bradford,Cinnamon and Banana Cake,NA,NA
1,6,Annetha,Mills,NA,30,Midwife,Essex,NA,NA,NA
1,6,David,Chambers,NA,31,Entrepreneur,Milton Keynes,NA,NA,NA
1,6,Jasminder,Randhawa,NA,45,Assistant Credit Control Manager,Birmingham,NA,NA,NA
1,6,Jonathan,Shepherd,NA,25,Research Analyst,St Albans,NA,NA,NA
1,6,Lea,Harris,NA,51,Retired,"Midlothian, Scotland",NA,NA,NA
1,6,Louise,Brimelow,NA,44,Police Officer,Manchester,NA,NA,NA
1,6,Mark,Whithers,NA,48,Bus Driver,South Wales,NA,NA,NA
2,1,Ben,Frazer,stayed in,31,Graphic Designer,Northampton,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Ian,Vallance,stayed in,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Apple and Cinnamon Cupcakes,10,UNKNOWN
2,1,Janet,Basu,stayed in,63,Teacher of Modern Languages,"Formby, Liverpool",Raspberry and Cream Cupcakes,8,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Jason,White,stayed in,19,Civil Engineering Student,Croydon,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,UNKNOWN
2,1,Joanne,NA,stayed in,NA,NA,NA,NA,11,NA
2,1,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Banoffee Cupcakes,4,Chocolate and Raspberry Opera cake
2,1,Robert,Billington,stayed in,25,Photographer,London,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Simon,Blackwell,stayed in,31,Rugby Coach,Norfolk,Guinness and Chocolate Cupcakes,9,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,Roe,stayed in,40,Head of Marketing,"Enfield, London",Cherry Blossom CupcakesJapanese Lime Cupcakes,7,UNKNOWN
2,1,Yasmin,Limbert,stayed in,43,Childminder,"West Kirby, The Wirral",Cardamom and Pomegranate Cupcakes,5,UNKNOWN
2,1,Keith,Batsford,Eliminated,31,House husband,"Arlesey, Bedfordshire",Earl Grey Cupcakes,12,Chocolate and Sour Cream Cake
2,1,Holly,Bell,Star Baker,31,Advertising executive,Leicester,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,UNKNOWN
2,2,Ben,Frazer,stayed in,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",1,Lemon Meringue Tarts
2,2,Holly,Bell,stayed in,31,Advertising executive,Leicester,Pesto Quiche,4,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Ian,Vallance,stayed in,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,UNKNOWN
2,2,Janet,Basu,stayed in,63,Teacher of Modern Languages,"Formby, Liverpool",Quiche Printanière,8,Red Fruit TartsChocolate and Cherry Tarts
2,2,Joanne,NA,stayed in,NA,NA,NA,NA,10,NA
2,2,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire","Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Robert,Billington,stayed in,25,Photographer,London,Smoked Bacon and Kale Quiche,5,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
2,2,Urvashi,Roe,stayed in,40,Head of Marketing,"Enfield, London","Crab, Coriander and Coconut Quiche",7,Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Yasmin,Limbert,stayed in,43,Childminder,"West Kirby, The Wirral",Smoked Haddock and Watercress Quiche,6,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,2,Simon,Blackwell,Eliminated,31,Rugby Coach,Norfolk,Smoked Haddock and Watercress Quiche,11,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Jason,White,Star Baker,19,Civil Engineering Student,Croydon,Salmon and Pak Choi Quiche,3,Mint Chocolate Tarts Blueberry Bakewell Tarts
2,2,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,3,Ben,Frazer,stayed in,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",3,UNKNOWN
2,3,Holly,Bell,stayed in,31,Advertising executive,Leicester,Picnic Loaf,6,Stilton and Walnut Rolls
2,3,Janet,Basu,stayed in,63,Teacher of Modern Languages,"Formby, Liverpool",Zupfe Loaf with Gruyère Cheese,8,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Jason,White,stayed in,19,Civil Engineering Student,Croydon,Cheese and Onion Tear and Share Loaf,7,UNKNOWN
2,3,Joanne,NA,stayed in,NA,NA,NA,NA,1,NA
2,3,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Ploughman's Loaf,5,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Robert,Billington,stayed in,25,Photographer,London,Rye and Coriander Seed Loaf,4,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Ian,Vallance,Eliminated,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf",10,Walnut and Raisin RollsCracked Wheat Logs
2,3,Urvashi,Roe,Eliminated,40,Head of Marketing,"Enfield, London",Salt and Peppercorn Loaf,9,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Yasmin,Limbert,Star Baker,43,Childminder,"West Kirby, The Wirral",Egyptian Dukkah Loaf with Mixed Spices,2,"Pesto Bread
Sweet Coconut Rolls"
2,3,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,3,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,4,Janet,Basu,stayed in,63,Teacher of Modern Languages,"Formby, Liverpool",Christmas Marzipan Biscuits,4,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Joanne,NA,stayed in,NA,NA,NA,NA,8,NA
2,4,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Melting Moments,2,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Robert,Billington,stayed in,25,Photographer,London,Chocolate and Ginger Oat Biscuits,7,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
